N,threads,serial_ms,thread_ms
1000000,1,0.999928,0.000000
1000000,2,0.999928,0.000000
1000000,4,0.999928,0.000000
1000000,8,0.000000,1.000166
1000000,16,0.999928,0.000000
1000000,32,0.000000,0.999928
1000000,36,0.000000,2.000093
10000000,1,6.000042,6.000042
10000000,2,6.000042,6.999969
10000000,4,6.000042,6.999969
10000000,8,6.000042,6.999969
10000000,16,6.000042,6.999969
10000000,32,6.000042,8.000135
10000000,36,6.000042,7.999897
100000000,1,72.000027,72.999954
100000000,2,72.000027,72.000027
100000000,4,72.000027,72.000027
100000000,8,72.000027,72.999954
100000000,16,72.000027,72.999954
100000000,32,72.000027,74.000120
100000000,36,72.000027,74.000120
1000000000,1,744.999886,729.000092
1000000000,2,745.000124,729.000092
1000000000,4,743.999958,730.000019
1000000000,8,743.999958,730.999947
1000000000,16,744.000196,730.000019
1000000000,32,744.000196,731.999874
1000000000,36,744.999886,733.000040
